province_state,confirmed,date
Georgia,10,2020-08-04
Indiana,11,2020-08-04
Arkansas,179,2020-08-04
Colorado,39,2020-08-04
Colorado,45,2020-08-04
Illinois,65,2020-08-04
Michigan,29,2020-08-04
New York,125,2020-08-04
New York,34,2020-08-04
Oklahoma,12,2020-08-04
Oklahoma,21,2020-08-04
Minnesota,108,2020-08-04
Tennessee,72,2020-08-04
Wisconsin,66,2020-08-04
California,64,2020-08-04
California,25,2020-08-04
New Mexico,87,2020-08-04
Mississippi,79,2020-08-04
South Dakota,228,2020-08-04
North Carolina,37,2020-08-04
North Carolina,37,2020-08-04
Texas,42,2020-08-04
Florida,51,2020-08-04
Georgia,67,2020-08-04
Georgia,82,2020-08-04
Georgia,76,2020-08-04
Indiana,76,2020-08-04
Colorado,35,2020-08-04
New York,88,2020-08-04
Louisiana,275,2020-08-04
Minnesota,112,2020-08-04
California,34,2020-08-04
Mississippi,60,2020-08-04
Rhode Island,832,2020-08-04
Iowa,134,2020-08-04
Ohio,94,2020-08-04
Texas,210,2020-08-04
Florida,272,2020-08-04
Michigan,42,2020-08-04
Louisiana,135,2020-08-04
California,117,2020-08-04
Connecticut,85,2020-08-04
Florida,206,2020-08-04
Illinois,180,2020-08-04
Oklahoma,33,2020-08-04
New York,422,2020-08-04
Pennsylvania,148,2020-08-04
Oregon,258,2020-08-04
New York,427,2020-08-04
Louisiana,123,2020-08-04
Wisconsin,70,2020-08-04
Connecticut,150,2020-08-04
South Carolina,340,2020-08-04
Ohio,108,2020-08-04
Alabama,249,2020-08-04
Florida,394,2020-08-04
Delaware,636,2020-08-04
Florida,803,2020-08-04
North Carolina,848,2020-08-04
Arizona,464,2020-08-04
Washington,795,2020-08-04
California,1016,2020-08-04
Pennsylvania,671,2020-08-04
Pennsylvania,857,2020-08-04
Maryland,1310,2020-08-04
California,1179,2020-08-04
