province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Texas,US,2020-08-04,35.83769242,-101.8930281,POINT(-101.8930281 35.83769242),9,0,0,0,48341,Moore,"Moore, Texas, US"
Texas,US,2020-08-04,33.11304005,-94.73255695,POINT(-94.73255695 33.11304005),1,0,0,0,48343,Morris,"Morris, Texas, US"
Texas,US,2020-08-04,30.78548982,-93.74408813,POINT(-93.74408813 30.78548982),1,0,0,0,48351,Newton,"Newton, Texas, US"
Texas,US,2020-08-04,27.736286,-97.5433285,POINT(-97.5433285 27.736286),65,0,0,0,48355,Nueces,"Nueces, Texas, US"
Texas,US,2020-08-04,30.11879481,-93.89412775,POINT(-93.89412775 30.11879481),29,0,0,0,48361,Orange,"Orange, Texas, US"
Texas,US,2020-08-04,32.75310985,-98.31319001,POINT(-98.31319001 32.75310985),3,0,0,0,48363,Palo Pinto,"Palo Pinto, Texas, US"
Texas,US,2020-08-04,32.77757172,-97.80500621,POINT(-97.80500621 32.77757172),6,0,0,0,48367,Parker,"Parker, Texas, US"
Texas,US,2020-08-04,30.78097267,-102.7241261,POINT(-102.7241261 30.78097267),1,0,0,0,48371,Pecos,"Pecos, Texas, US"
Texas,US,2020-08-04,30.79472531,-94.8276624,POINT(-94.8276624 30.79472531),8,0,0,0,48373,Polk,"Polk, Texas, US"
Texas,US,2020-08-04,31.32323325,-103.6903896,POINT(-103.6903896 31.32323325),1,0,0,0,48389,Reeves,"Reeves, Texas, US"
Alaska,US,2020-08-04,62.31305045,-149.5741743,POINT(-149.5741743 62.31305045),5,0,0,0,2170,Matanuska-Susitna,"Matanuska-Susitna, Alaska, US"
Alaska,US,2020-08-04,57.13978948,-132.9540995,POINT(-132.9540995 57.13978948),2,0,0,0,2195,Petersburg,"Petersburg, Alaska, US"
Hawaii,US,2020-08-04,,,,2,0,0,0,80015,Out of HI,"Out of HI,Hawaii,US"
Kansas,US,2020-08-04,38.39184858,-97.64769869,POINT(-97.64769869 38.39184858),11,0,0,0,20113,McPherson,"McPherson, Kansas, US"
Kansas,US,2020-08-04,38.56383358,-94.83832189,POINT(-94.83832189 38.56383358),2,0,0,0,20121,Miami,"Miami, Kansas, US"
Kansas,US,2020-08-04,39.39331582,-98.20906732,POINT(-98.20906732 39.39331582),2,0,0,0,20123,Mitchell,"Mitchell, Kansas, US"
Kansas,US,2020-08-04,37.19236568,-95.74329258,POINT(-95.74329258 37.19236568),11,0,0,0,20125,Montgomery,"Montgomery, Kansas, US"
Kansas,US,2020-08-04,38.68827511,-96.65128437,POINT(-96.65128437 38.68827511),2,0,0,0,20127,Morris,"Morris, Kansas, US"
